url;pelmorex_id;name;province;coords
https://www.eltiempo.es/neano.html;ESXX11281;NeaÃ±o;A Coruña;(43.2267544, -8.9146878)
https://www.eltiempo.es/mesos.html;ESXX11163;MesÃ³s;A Coruña;(43.0634422, -8.306446928653067)
https://www.eltiempo.es/marracin-de-arriba.html;ESXX11092;MarracÃ­n de Arriba;A Coruña;(42.7543611, -8.8640291)
https://www.eltiempo.es/regueira.html;ESXX11680;Regueira;A Coruña;(43.3780536, -8.2713136)
https://www.eltiempo.es/mamoa.html;ESXX11062;MÃ¡moa;A Coruña;(42.5459519, -9.0027941)
https://www.eltiempo.es/resua.html;ESXX11700;Resua;A Coruña;(42.7266965, -8.9579711)
https://www.eltiempo.es/famelga.html;ESXX13351;Famelga;A Coruña;(42.7431759, -8.8585001)
https://www.eltiempo.es/perbes.html;ESXX7838;Perbes;A Coruña;(43.3763806, -8.2132068)
https://www.eltiempo.es/meirama.html;ESXX11140;Meirama;A Coruña;(43.2132926, -8.439451843408516)
https://www.eltiempo.es/enfesta.html;ESXX10361;Enfesta;A Coruña;(42.9759411, -8.7454053)
https://www.eltiempo.es/dorona.html;ESXX10279;DoroÃ±a;A Coruña;(43.3789455, -8.1374194)
https://www.eltiempo.es/labacengos.html;ESXX10754;Labacengos;A Coruña;(43.5745805, -7.9603596)
https://www.eltiempo.es/chamin.html;ESXX10084;ChamÃ­n;A Coruña;(43.2933117, -8.5661047)
https://www.eltiempo.es/cacheiras.html;ESXX9892;Cacheiras;A Coruña;(42.8218934, -8.5509541)
https://www.eltiempo.es/oin.html;ESXX13737;OÃ­n;A Coruña;(42.7598486, -8.6822204)
https://www.eltiempo.es/mercurin.html;ESXX11156;MercurÃ­n;A Coruña;(43.1132031, -8.4383651)
https://www.eltiempo.es/balteiro.html;ESXX9642;Balteiro;A Coruña;(43.6710791, -8.0018403)
https://www.eltiempo.es/meijigo.html;ESXX11136;Meixigo;A Coruña;(43.2743845, -8.339121155659427)
https://www.eltiempo.es/vilacova.html;ESXX12352;Vilacova;A Coruña;(43.16880355, -8.29660701351833)
https://www.eltiempo.es/dumbria.html;ESXX1910;DumbrÃ­a;A Coruña;(43.0104042, -9.1179528)
https://www.eltiempo.es/tronceda.html;ESXX12228;Tronceda;A Coruña;(42.8677591, -8.1841237)
https://www.eltiempo.es/doninos.html;ESXX10273;DoniÃ±os;A Coruña;(43.4896673, -8.2976864)
https://www.eltiempo.es/lires.html;ESXX13556;Lires;A Coruña;(42.9981806, -9.2439714)
https://www.eltiempo.es/a-laracha.html;ESXX20951;A Laracha;A Coruña;(43.2315897, -8.5594497)
https://www.eltiempo.es/queixas.html;ESXX11612;Queixas;A Coruña;(43.160960900000006, -8.48117137776195)
https://www.eltiempo.es/moar.html;ESXX13658;Moar;A Coruña;(43.02522075, -8.316061712950571)
https://www.eltiempo.es/a-coruna/portugalete.html;ESXX21152;Portugalete;A Coruña;(42.7845158, -9.0658291)
https://www.eltiempo.es/nemina.html;ESXX13717;NemiÃ±a;A Coruña;(43.0207902, -9.2713211)
https://www.eltiempo.es/a-coruna/sueiro.html;ESXX12094;Sueiro;A Coruña;(43.266524, -8.3814672)
https://www.eltiempo.es/brandomil.html;ESXX9822;Brandomil;A Coruña;(43.0106732, -8.9253387)
https://www.eltiempo.es/osedo.html;ESXX13761;Osedo;A Coruña;(43.33947025, -8.284761171633178)
https://www.eltiempo.es/arcaute.html;ESXX12970;Arcaute;Alava;(42.8514556, -2.6351692)
https://www.eltiempo.es/kripan.html;ESXX1870;Kripan;Alava;(42.5919931, -2.5153878)
https://www.eltiempo.es/minao-goien-minano-mayor.html;ESXX8588;MiÃ±ano Mayor;Alava;(42.9114931, -2.6582152383516036)
https://www.eltiempo.es/nograro.html;ESXX11300;Nograro;Alava;(42.824524600000004, -3.1098728873701034)
https://www.eltiempo.es/martioda.html;ESXX8503;MÃ¡rtioda;Alava;(42.8744656, -2.7803446)
https://www.eltiempo.es/eribe.html;ESXX10375;Eribe;Alava;(42.9659484, -2.6928037)
https://www.eltiempo.es/landa.html;ESXX10825;Landa;Alava;(42.9471882, -2.5881701516920024)
https://www.eltiempo.es/barriobusto.html;ESXX13052;Barriobusto;Alava;(42.5679695, -2.4314507)
https://www.eltiempo.es/ordonana.html;ESXX2699;OrdoÃ±ana;Alava;(42.8759958, -2.3734446346822393)
https://www.eltiempo.es/domaiquia.html;ESXX10265;Domaiquia;Alava;(42.924748699999995, -2.8018710198216628)
https://www.eltiempo.es/arechavaleta.html;ESXX12977;Arechavaleta;Alava;(42.8309677, -2.673733)
https://www.eltiempo.es/mendoza.html;ESXX8507;Mendoza;Alava;(42.8596777, -2.7780304)
https://www.eltiempo.es/mendieta.html;ESXX13637;Mendieta;Alava;(43.0953541, -3.0735916)
https://www.eltiempo.es/maestu.html;ESXX2452;Maestu;Alava;(42.72301655, -2.450153961813191)
https://www.eltiempo.es/alava/lezama.html;ESXX8687;Lezama;Alava;(43.026621750000004, -2.9566506379449677)
https://www.eltiempo.es/barron.html;ESXX13055;BarrÃ³n;Alava;(42.84808165, -2.9913521215912957)
https://www.eltiempo.es/menoyo.html;ESXX13640;Menoyo;Alava;(43.05661015, -3.0715419335584215)
https://www.eltiempo.es/ondategui.html;ESXX11343;OndÃ¡tegui;Alava;(42.95319325, -2.740260276087042)
https://www.eltiempo.es/alcedo.html;ESXX3770;Alcedo;Alava;(42.7754548, -3.0258085)
https://www.eltiempo.es/gurendes.html;ESXX13454;Gurendes;Alava;(42.8474405, -3.1180417)
https://www.eltiempo.es/arbulo.html;ESXX12967;Arbulo;Alava;(42.8746401, -2.5670684)
https://www.eltiempo.es/orbiso.html;ESXX13753;Orbiso;Alava;(42.70946325, -2.32867970637777)
https://www.eltiempo.es/barajuen.html;ESXX13040;Barajuen;Alava;(43.0464017, -2.5590946)
https://www.eltiempo.es/beotegui.html;ESXX9743;BeÃ³tegui;Alava;(43.0887189, -3.0752285)
https://www.eltiempo.es/villanane.html;ESXX14183;VillanaÃ±e;Alava;(42.8355224, -3.0709810017763006)
https://www.eltiempo.es/vitoria.html;ESXX20570;Vitoria;Alava;(42.8465088, -2.6724025)
https://www.eltiempo.es/luyando.html;ESXX13584;Luyando;Alava;(43.1002369, -2.9974774838405187)
https://www.eltiempo.es/samaniego.html;ESXX5377;Samaniego;Alava;(42.5682299, -2.6790583)
https://www.eltiempo.es/corres.html;ESXX10185;Corres;Alava;(42.6961058, -2.447169867491213)
https://www.eltiempo.es/salinillas-de-buradon.html;ESXX13911;Salinillas de BuradÃ³n;Alava;(42.626647500000004, -2.8207961991257755)
https://www.eltiempo.es/ascarza.html;ESXX8511;Ascarza;Alava;(42.8423902, -2.6097106297670267)
https://www.eltiempo.es/tuyo.html;ESXX16898;Tuyo;Alava;(42.7862893, -2.8480943119475475)
https://www.eltiempo.es/arraia-maeztu.html;ESXX21091;Arraia-Maeztu;Alava;(42.740263299999995, -2.4475475392061172)
https://www.eltiempo.es/acilu.html;ESXX5391;Acilu;Alava;(42.83360405, -2.475216873966281)
https://www.eltiempo.es/alava/guinea.html;ESXX13451;Guinea;Alava;(42.852089899999996, -3.0139542442234095)
https://www.eltiempo.es/asparrena.html;ESXX21089;Asparrena;Alava;(42.88625135, -2.2855075098609063)
https://www.eltiempo.es/arcaya.html;ESXX9526;Arcaya;Alava;(42.8418263, -2.6343862)
https://www.eltiempo.es/sabando.html;ESXX13904;Sabando;Alava;(42.748361599999996, -2.394316097712144)
https://www.eltiempo.es/contrasta.html;ESXX13259;Contrasta;Alava;(42.7691721, -2.2900173361558234)
https://www.eltiempo.es/lapuebla-de-labarca.html;ESXX5392;Lapuebla de Labarca;Alava;(42.4934805, -2.5755974)
https://www.eltiempo.es/ribera-alta.html;ESXX21078;Ribera Alta;Alava;(42.797996749999996, -2.9040572861902803)
https://www.eltiempo.es/alava/quintanilla.html;ESXX11626;Quintanilla;Alava;(42.7263729, -2.8921668)
https://www.eltiempo.es/betono.html;ESXX8522;BetoÃ±o;Alava;(42.8621353, -2.6560585)
https://www.eltiempo.es/urrunaga.html;ESXX14111;UrrÃºnaga;Alava;(42.95631375, -2.6590567737039237)
https://www.eltiempo.es/alava/barrio.html;ESXX13051;Barrio;Alava;(42.8106745, -3.0868164746182156)
https://www.eltiempo.es/alava/castillo.html;ESXX13192;Castillo;Alava;(42.794219749999996, -2.670618170885141)
https://www.eltiempo.es/yecora.html;ESXX21071;YÃ©cora;Alava;(42.5678349, -2.4704011)
https://www.eltiempo.es/aranguiz.html;ESXX8497;ArÃ¡nguiz;Alava;(42.8914383, -2.697209076915788)
https://www.eltiempo.es/lantaron.html;ESXX21082;LantarÃ³n;Alava;(42.74782595, -2.994227429139244)
https://www.eltiempo.es/oreitia.html;ESXX8508;Oreitia;Alava;(42.85722045, -2.557628980963073)
https://www.eltiempo.es/alava/angostina.html;ESXX12944;Angostina;Alava;(42.6356396, -2.4692097)
https://www.eltiempo.es/iruna-oka.html;ESXX5367;IruÃ±a Oka;Alava;(42.824644199999994, -2.820600570208913)
https://www.eltiempo.es/mendivil.html;ESXX11152;MendÃ­vil;Alava;(42.904568850000004, -2.620063411159422)
https://www.eltiempo.es/marquina.html;ESXX11088;Marquina;Alava;(42.98026485, -2.8113420945865855)
https://www.eltiempo.es/bernedo.html;ESXX1553;Bernedo;Alava;(42.6267187, -2.4980928)
https://www.eltiempo.es/chinchetru.html;ESXX13235;Chinchetru;Alava;(42.8359127, -2.4551881)
